,Média,Desvio Padrão,Limite inferior,Limite Superior
decisionTree,0.9355555555555557,0.058330687770696374,0.9146825705638909,0.9564285405472205
randomForest,0.9533333333333334,0.042687494916218975,0.9380580901505224,0.9686085765161443
knnDistance,0.9511111111111111,0.051448164012401,0.9327009603599136,0.9695212618623087
knn,0.9533333333333335,0.05206833117271103,0.9347012626918655,0.9719654039748015
kMeansCentroids,0.9622222222222223,0.04771313456351975,0.9451486100343347,0.9792958344101099
kGA,0.8977777777777779,0.09997530559290661,0.8620027315211456,0.9335528240344102
