,Média,Desvio Padrão,Limite inferior,Limite Superior
decisionTree,0.9308688387635755,0.02827211963390517,0.9207519765876847,0.9409857009394663
randomForest,0.9607873851294904,0.028882161379953135,0.9504522263297092,0.9711225439292716
knnDistance,0.9654761904761903,0.018371756452959638,0.9589020626651036,0.972050318287277
knn,0.9654135338345865,0.023361854622556313,0.9570537551391767,0.9737733125299963
kMeansCentroids,0.9554720133667499,0.02554564545945639,0.9463307895160431,0.9646132372174567
kGA,0.9307957393483708,0.04221451801087772,0.9156897456673898,0.9459017330293518
