,Média,Desvio Padrão,Limite inferior,Limite Superior
zeroR,0.3333333333333334,1.1102230246251565e-16,0.33333333333333337,0.3333333333333335
oneR,0.9155555555555556,0.06425258797689315,0.8925634847301699,0.9385476263809412
naiveBayes,0.9533333333333334,0.049140765305546605,0.9357488594328407,0.970917807233826
random,0.35333333333333333,0.11819632130641955,0.3110381001552619,0.39562856651140477
stratifiedRandom,0.3333333333333333,0.12881223774390613,0.2872393130512335,0.3794273536154331
