,Média,Desvio Padrão,Limite inferior,Limite Superior
decisionTree,0.94,0.049740065079109747,0.9222010733704693,0.9577989266295306
randomForest,0.9533333333333334,0.052068331172711015,0.9347012626918654,0.9719654039748014
knnDistance,0.9555555555555556,0.052587375849774354,0.9367377505747817,0.9743733605363295
knn,0.9600000000000002,0.05047918529600243,0.941936587457756,0.9780634125422444
kMeansCentroids,0.9511111111111111,0.06425258797689315,0.9281190402857254,0.9741031819364968
kGA,0.9111111111111112,0.06516834799384524,0.8877913457938493,0.9344308764283731
