,zeroR,oneR,naiveBayes,random,stratifiedRandom
0,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.3333333333333333,0.3333333333333333
1,0.3333333333333333,0.8666666666666667,1.0,0.4666666666666667,0.3333333333333333
2,0.3333333333333333,0.8666666666666667,1.0,0.3333333333333333,0.4
3,0.3333333333333333,0.9333333333333333,1.0,0.4666666666666667,0.2
4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.3333333333333333,0.26666666666666666
5,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.4666666666666667,0.4
6,0.3333333333333333,1.0,0.9333333333333333,0.5333333333333333,0.13333333333333333
7,0.3333333333333333,1.0,1.0,0.26666666666666666,0.6
8,0.3333333333333333,0.8,1.0,0.4,0.26666666666666666
9,0.3333333333333333,0.8666666666666667,0.8666666666666667,0.3333333333333333,0.13333333333333333
10,0.3333333333333333,1.0,1.0,0.5333333333333333,0.26666666666666666
11,0.3333333333333333,1.0,1.0,0.06666666666666667,0.3333333333333333
12,0.3333333333333333,1.0,1.0,0.2,0.26666666666666666
13,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.3333333333333333,0.3333333333333333
14,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.4,0.4
15,0.3333333333333333,0.8666666666666667,1.0,0.26666666666666666,0.4
16,0.3333333333333333,1.0,1.0,0.4,0.2
17,0.3333333333333333,0.8666666666666667,0.8666666666666667,0.3333333333333333,0.3333333333333333
18,0.3333333333333333,0.8,0.9333333333333333,0.4,0.3333333333333333
19,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.4,0.5333333333333333
20,0.3333333333333333,1.0,0.9333333333333333,0.4,0.3333333333333333
21,0.3333333333333333,0.9333333333333333,1.0,0.5333333333333333,0.2
22,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.26666666666666666,0.4
23,0.3333333333333333,0.9333333333333333,1.0,0.3333333333333333,0.2
24,0.3333333333333333,0.8666666666666667,1.0,0.2,0.4666666666666667
25,0.3333333333333333,0.9333333333333333,1.0,0.06666666666666667,0.26666666666666666
26,0.3333333333333333,1.0,0.9333333333333333,0.3333333333333333,0.5333333333333333
27,0.3333333333333333,0.8,0.9333333333333333,0.26666666666666666,0.13333333333333333
28,0.3333333333333333,1.0,0.9333333333333333,0.3333333333333333,0.2
29,0.3333333333333333,1.0,0.9333333333333333,0.26666666666666666,0.26666666666666666
