,decisionTree,randomForest,knnDistance,knn,kMeansCentroids,kGA
0,0.9473684210526315,0.9473684210526315,0.9649122807017544,0.9824561403508771,0.9122807017543859,0.9122807017543859
1,0.9298245614035088,0.9473684210526315,0.9649122807017544,0.9649122807017544,0.9122807017543859,0.8771929824561403
2,0.8596491228070176,0.9298245614035088,0.9473684210526315,0.9473684210526315,0.9824561403508771,0.8947368421052632
3,0.9298245614035088,0.9473684210526315,0.9649122807017544,0.9122807017543859,0.9824561403508771,0.9824561403508771
4,0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9473684210526315,0.9649122807017544
5,0.9473684210526315,0.9824561403508771,0.9473684210526315,0.9824561403508771,0.9298245614035088,1.0
6,0.9473684210526315,1.0,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9649122807017544
7,0.9649122807017544,0.9649122807017544,0.9824561403508771,0.9298245614035088,0.9824561403508771,0.8421052631578947
8,0.9649122807017544,0.9824561403508771,0.9649122807017544,1.0,0.9649122807017544,0.9298245614035088
9,0.9285714285714286,0.9642857142857143,1.0,0.9464285714285714,0.9642857142857143,0.9107142857142857
10,0.9298245614035088,0.8947368421052632,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9473684210526315
11,0.9122807017543859,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315
12,0.9649122807017544,0.9298245614035088,0.9298245614035088,0.9649122807017544,1.0,0.9473684210526315
13,0.8771929824561403,0.9824561403508771,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
14,0.9122807017543859,0.9649122807017544,0.9824561403508771,0.9298245614035088,0.8947368421052632,0.9298245614035088
15,0.9649122807017544,1.0,0.9298245614035088,1.0,0.9824561403508771,0.9122807017543859
16,0.9122807017543859,0.9473684210526315,0.9824561403508771,0.9473684210526315,0.9649122807017544,0.9824561403508771
17,0.9473684210526315,1.0,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9298245614035088
18,0.8771929824561403,0.9298245614035088,0.9649122807017544,1.0,0.9649122807017544,0.8771929824561403
19,0.9285714285714286,1.0,0.9821428571428571,0.9464285714285714,0.9642857142857143,0.8928571428571429
20,0.9473684210526315,0.9473684210526315,0.9298245614035088,0.9298245614035088,0.9473684210526315,0.9122807017543859
21,0.9649122807017544,0.9824561403508771,0.9473684210526315,0.9649122807017544,1.0,1.0
22,0.9473684210526315,0.9649122807017544,0.9824561403508771,0.9649122807017544,0.9122807017543859,0.9298245614035088
23,0.9649122807017544,0.8771929824561403,0.9824561403508771,0.9824561403508771,0.9473684210526315,0.9649122807017544
24,0.8947368421052632,0.9824561403508771,0.9473684210526315,0.9649122807017544,0.9473684210526315,0.8771929824561403
25,0.9473684210526315,0.9649122807017544,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9473684210526315
26,0.9122807017543859,0.9824561403508771,0.9473684210526315,0.9824561403508771,0.9473684210526315,0.9649122807017544
27,0.9473684210526315,0.9649122807017544,0.9473684210526315,1.0,0.9824561403508771,0.8771929824561403
28,0.8947368421052632,0.9473684210526315,0.9649122807017544,0.9298245614035088,0.9473684210526315,0.9824561403508771
29,0.9285714285714286,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.8571428571428571
