,decisionTree,randomForest,knnDistance,knn,kMeansCentroids,kGA
0,0.8888888888888888,1.0,0.8888888888888888,0.8333333333333334,0.9444444444444444,1.0
1,0.7777777777777778,0.9444444444444444,1.0,1.0,1.0,0.9444444444444444
2,0.9444444444444444,1.0,0.9444444444444444,1.0,0.8888888888888888,1.0
3,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.9444444444444444
4,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0
5,1.0,1.0,0.9444444444444444,1.0,1.0,1.0
6,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444
7,0.8888888888888888,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444
8,0.8823529411764706,1.0,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353
9,1.0,0.9411764705882353,0.9411764705882353,0.7647058823529411,1.0,0.9411764705882353
10,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888
11,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0
12,1.0,1.0,1.0,1.0,1.0,0.9444444444444444
13,0.7222222222222222,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0
15,0.8333333333333334,1.0,0.9444444444444444,0.9444444444444444,1.0,1.0
16,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444
17,0.7222222222222222,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0
18,1.0,1.0,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353
19,0.8823529411764706,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0
20,0.8333333333333334,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0
21,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0
22,0.9444444444444444,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888
23,0.8888888888888888,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444
24,0.8888888888888888,1.0,0.9444444444444444,1.0,1.0,1.0
25,0.8333333333333334,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
26,0.8888888888888888,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,1.0
27,0.7777777777777778,1.0,1.0,0.9444444444444444,1.0,0.9444444444444444
28,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0
29,0.9411764705882353,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353
